id,project_url,Researcher ID,researcher name,project title,Current Affiliation (Institution 1),"Title 1 (assistant professor, phd, postdoc, etc.) ",Misc Defined,Student/Non-Student (0/1),Researcher 2 Affiliation,"Title 2 (assistant professor, phd student, postdoc, etc.)",Researcher 3 Affiliation,"Title 3 (assistant professor, phd student, postdoc, etc.)",Researcher 4 Affiliation,Title 4,US/Non-US (0/1),Institution Classification,Institution Classification Specified,Address 1 (Affliation),zip,Address 2 (Affliation),Latitude 1 (Affliation)  ,Latitude 2 (Affliation),Longitude 1 (Affliation) ,Longitude 2 (Affliation),"City, State 1 (Affliation)","City, State 2 (Affliation)",CBSA1Affliation,CBSA 2 (Affliation),Country (if Non-US),Position 1,Position 2,Position 3,Education 1,Education 2,Education 3,Research University 1,Research University 2,Location of Research 1,Location of Research 2,"Disciplinarity (0 - single, 1 - multi)","Relevance (Theory - 0, Practice - 1, Both - 2)",Relevant Publications (expertise) (0 - dont or 1 - if they did),"Category Relevance (0 - not on list, 1- yes, 2-mixed)",,researcher_title,backers,categories,category1,category2,category3,category4,state,abbreviation,Pasteur's Quadrants (Q1: low/low; Q2: pure basic research; Q3: use-inspired basic research; Q4: applied research),funding_start,funding_end,duration,funding_target,funding_raised,funding_success,funding_percent,name 1,name 2,ID1,ID2,matches 1,matches 2,manual1,manual2,H-Index 1,H-Index 2,Citation-Count 1,Citation-Count 2,budget_overview_granularity,spending_data_granularity,usage_granularity,overall_budget_granularity,video_granularity,description_granularity,credential_granularity,researcher_background_granularity,mugshot_granularity,goal_granularity,importance_granularity,overall_project_detail,video_effort,description_effort,credentials_effort,budget_overview_effort,researcher_bio_effort,mugshot_effort,goals_writeup_effort,importance_writeup_effort,fund_usage_writeup_effort,total_effort
664,https://experiment.com/projects/does-engaging-in-philosophical-inquiry-improve-kids-critical-thinking-skills,27,Iris Oved,Does engaging in philosophical inquiry improve kids' critical thinking skills?,Rutgers University,PhD,,0,,,,,,,0,D,D4,,.,,,,,,AZ,,,,,,,,"PhD Rutgers University, 2009, Philosophy and Cognitive Science. BA University of Arizona, 2001, Philosophy, Psychology, Symbolic Systems.", ,,Paradox Center (nonprofit),,Arizona,,0,0,0,1,,"PhD Rutgers University, 2009, Philosophy and Cognitive Science. BA University of Arizona, 2001, Philosophy, Psychology, Symbolic Systems.",26,Education,,,,,Arizona,AZ,Q2,6/15/2013 0:00,9/30/2013 0:00,107.00,15000,1255,0,8.366666667,Iris Oved,,15056570700,,1,,0,,1,,7,,0.2,1,0.167,0.456,1,1,0.667,0.3,1,0.5,0.867,0.762,1,1,0.667,0.2,0.3,1,0.5,0.867,0.167,0.633
669,https://experiment.com/projects/what-do-snowflakes-really-look-like,77,Tim Garrett,Can we forecast the perfect ski day?É?ü,University of Utah,Associate Professor,,1,,,,,,,0,D,D4,"201 Presidents Circle, ROOM 203, Salt Lake City, Utah 84112-9008",84112, ,40.765448,,-111.84979,,"Salt Lake City, UT",,41620,,,Professor,,,Ph.D. in Atmospheric Sciences from the University of Washington and a B.S. in Physics from the University of Waterloo in Canada., ,,,,,,1,1,0,0,,Tim Garrett is a professor of Atmospheric Sciences at the University of Utah. He holds a Ph.D. in Atmospheric Sciences from the University of Washington and a B.S. in Physics from the University of Waterloo in Canada.,20,Physics,Chemistry,Engineering,,,Utah,UT,Q2,10/11/2013 0:00,12/31/2013 23:59,82.00,16000,2101,0,13.13125,Tim Garrett,,15032788000,,4,,"['15032788000', '14043363600', '55647470600', '7006408310']",,20,,1257,,0.7,1,0.533,0.744,1,1,1,0.633,1,1,1,0.948,1,1,1,0.7,0.633,1,1,1,0.533,0.874
674,https://experiment.com/projects/staphsubfamilies,26,Michael Ferro,Lucid Key to Staphylinidae Subfamilies ,Louisiana State University,PhD,,0,,,,,,,0,D,D4,,.,,,,,,Louisiana,,,,,,,,"B.S. Biology and Chemistry - Central Missouri State University

M.S. Entomology - University of Missouri, Columbia

Ph.D. Entomology - Louisiana State University", ,,Louisiana State Arthropod Museum, ,Louisiana,,1,1,0,0,,"B.S. Biology and Chemistry - Central Missouri State University<br> M.S. Entomology - University of Missouri, Columbia<br> Ph.D. Entomology - Louisiana State University <br>",28,Biology,Ecology,,,,Louisiana,LA,Q4,6/30/2013 17:00,7/30/2013 17:00,30.00,2200,2275,1,103.4090909,Michael Ferro,,11539845800,,1,,0,,1,,8,,0.1,1,0.5,0.533,1,1,0,0.167,1,0.067,0.7,0.562,1,1,0,0.1,0.167,1,0.067,0.7,0.5,0.504
681,https://experiment.com/projects/can-we-keep-skiers-and-snowboarders-from-landing-on-their-heads,327,Jeffrey Campbell,Can we keep skiers and snowboarders from landing on their heads?,"Applied Biomechanics Lab, University of Washington and Mechanical Engineering Department, University of Washington",PhD,,0,,,,,,,0,D,D,"1400 NE Campus Parkway, Seattle, Washington 98195-4550",98195,,47.656216,,-122.31312,,"Seattle, WA",,42660,,,Doctoral Candidate,,,"Consultant - Guidance Engineering & Applied Research

M.S. Mechanical Engineering -  University of Washington, 2010

B.S.  Mechanical Engineering -  University of Utah, 2008", ,,University of Washington, ,Washington,,1,2,0,0,,"<ul><li>Consultant - Guidance Engineering & Applied Research</li> <li>M.S. Mechanical Engineering -  University of Washington, 2010</li> <li>B.S.  Mechanical Engineering -  University of Utah, 2008</li></ul>",23,Physics,Engineering,Medicine,,,Washington,WA,Q3,6/16/2013 17:00,8/15/2013 17:00,60.00,25000,3005,0,12.02,Jeffrey Campbell,,,,41,,0,,,,,,0.2,0.667,0.333,0.4,1,1,1,0.467,1,0.167,0.233,0.695,1,1,1,0.2,0.467,1,0.167,0.233,0.333,0.6
688,https://experiment.com/projects/can-we-target-distress-to-prevent-suicide-and-self-harm,337,Al Griskaitis,Can we target distress to prevent suicide and self harm?,University of New South Wales,MD,,1,,,,,,,1,D,D4,,.,,,,,,Sydney,,,,Australia,Doctor - Psychiatry Registrar, ,,"University of New South Wales 

St Vincent's Hospital, Clinical Research Centre for Depression and Anxiety (CRUFAD), ""http://thiswayup.org.au"">Thiswayup.org.au ",University of New South Wales,,University of New South Wales,,"Sydney, Australia",,1,0,0,1,,"University of New South Wales <br> St Vincent's Hospital <br> Clinical Research Centre for Depression and Anxiety (CRUFAD) <br> <a href=""http://thiswayup.org.au"">Thiswayup.org.au</a> <br> ",14,Education,Medicine,psychology,,,,,Q3,6/21/2013 0:00,9/22/2013 0:00,93.00,12000,1070,0,8.916666667,Al Griskaitis,,55579992100,,1,,0,,1,,11,,0.267,0.667,0.233,0.389,0,1,1,0.133,1,0.1,0.133,0.481,0,1,1,0.267,0.133,1,0.1,0.133,0.233,0.43
692,https://experiment.com/projects/integrin-based-biobots,375,Georgia Tech iGEM,Integrin Based Biobots,Georgia Institute of Technology,Undergraduate,,0,,,,,,,0,D,D2,,.,,,,,,"Atlanta, GA ",,,,,iGEM Undergraduate Team, ,,"Georgia Institute of Technology, Wallace H. Coulter Department of Biomedical Engineering", ,,Georgia Institute of Technology, ,Georgia,,1,0,0,0,,"Georgia Institute of Technology, Wallace H. Coulter Department of Biomedical Engineering",9,Engineering,Biology,,,,Georgia,GA,Q4,7/15/2013 12:30,8/31/2013 17:00,47.19,4054,665,0,16.40355205,,,,,,,0,,,,,,0.233,1,0.167,0.467,1,1,0.333,0.333,1,0.4,0.6,0.667,1,1,0.333,0.233,0.333,1,0.4,0.6,0.167,0.563
696,https://experiment.com/projects/leukippos-an-open-synthetic-biology-lab-in-the-cloud,20,Gerd Moe-Behrens,Leukippos - an open synthetic biology lab in the cloud,"Leukippos Institute (University of Oslo, Norway)",Misc,Founder,1,,,,,,,1,D,D,,.,,,,,,Cloud-based,,,,,,,,"PhD from the Faculty of Medicine, University of Oslo, Norway

""http://www.leukippos.org"">Leukippos Institute (Founder)

""http://www.cytocomp.com"">CytoComp (CEO, Founder) ", ,,Leukippos Institute,,,,1,1,0,0,,"PhD from the Faculty of Medicine, University of Oslo, Norway<br> <a href=""http://www.leukippos.org"">Leukippos Institute</a> (Founder)<br> <a href=""http://www.cytocomp.com"">CytoComp</a> (CEO, Founder) ",19,Biology,,,,,,,Q4,6/23/2013 17:00,7/4/2013 17:00,11.00,799,800,1,100.1251564,Gerd Moe-Behrens,,6506072412,,1,,0,,3,,129,,0.033,0.667,0.133,0.278,1,1,0.333,0.967,1,0.533,0.167,0.714,1,1,0.333,0.033,0.967,1,0.533,0.167,0.133,0.574
697,https://experiment.com/projects/how-does-drawing-affect-learning-outcomes,43,Susan Raatz Stephenson,How does drawing affect learning outcomes?,University of Utah ,PhD,,0,,,,,,,0,D,D4,"201 Presidents Circle, ROOM 203, Salt Lake City, Utah 84112-9008",84112, ,40.765448,,-111.84979,,"Salt Lake City, UT",,41620,,,Doctoral-Student,,,"Ph.D University of Utah

Certificate Bioinformatics - University of Utah

Master of Adult and Continuing Education - University of Phoenix

Bachelor of Science - Ultrasound - University of Oklahoma

Associate of Science - Radiologic Technology - Tulsa Junior College", ,,,,,,1,0,0,1,,"Ph.D Student in Learning and Cognition- University of Utah<br> 

Certificate Bioinformatics - University of Utah <br>

Master of Adult and Continuing Education - University of Phoenix <br>

Bachelor of Science - Ultrasound - University of Oklahoma <br>

Associate of Science - Radiologic Technology - Tulsa Junior College",7,Education,psychology,,,,Utah,UT,Q2,7/1/2013 17:00,8/30/2013 17:00,60.00,1800,145,0,8.055555556,Susan Raatz Stephenson,,,,10,,0,,,,,,0.333,0.333,0.1,0.255,0,0,0.667,1,1,0.533,1,0.6,0,0,0.667,0.333,1,1,0.533,1,0.1,0.515
698,https://experiment.com/projects/do-birds-carry-lyme-disease,108,Heather Kopsco,Do birds carry Lyme disease?,Montclair State University,Masters,,0,,,,,,,0,A,A,"1 Normal Avenue - 855 Valley Road, Montclair, New Jersey 07043-1624",7043, ,40.845997,,-74.201293,,"Montclair, NJ ",,35620,,,Graduate Student,,,"BA English, Cum Laude, Rutgers University 2008

BS Biology, Cum Laude, Montclair State University, 2010<br> MS Biology (concentration in ecology and evolution) candidate, expected August 2014", ,,,,,,1,0,0,0,,"BA English, Cum Laude, Rutgers University 2008<br> BS Biology, Cum Laude, Montclair State University, 2010<br> MS Biology (concentration in ecology and evolution) candidate, expected August 2014",82,Biology,Ecology,,,,New Jersey,NJ,Q2,6/7/2013 0:00,9/17/2013 23:59,103.00,8000,8000,0,100,Heather Kopsco,,,,0,,0,,,,,,0.033,1,0.167,0.4,0,1,0,0.633,1,1,1,0.662,0,1,0,0.033,0.633,1,1,1,0.167,0.537
719,https://experiment.com/projects/back-to-the-basics-of-synthetic-biology,324,Purdue iGEM,Back to the Basics of Synthetic Biology,Purdue University,Undergraduate,,0,,,,,,,0,D,D3,,.,,,,,,IN,,,,,,,,"We are a team of several bold undergraduate researchers majoring in biological engineering, biochemistry, biomedical engineering, computer science, and statistics.", ,,Purdue University,,Indiana,,0,1,0,0,,"<p> 	       We are a team of several bold undergraduate researchers majoring in biological engineering, biochemistry, biomedical engineering, computer science, and statistics. </p>",21,Biology,,,,,Indiana,IN,Q4,6/14/2013 0:00,9/23/2013 0:00,101.00,2000,2017,1,100.85,,,,,,,0,,,,,,0.133,1,0.133,0.422,1,0.5,1,1,1,0.333,0.3,0.733,1,0.5,1,0.133,1,1,0.333,0.3,0.133,0.6
724,https://experiment.com/projects/bacterial-quorum-sensing-and-algae-using-algae-to-help-fight-infections,188,Casey Hayslip,Bacterial Quorum Sensing and Algae: Using Algae to Help Fight Infections,Sam Houston State University,Masters,,0,,,,,,,0,B,B,"1806 Ave J, Huntsville, Texas 77340",77340,,30.714369,,-95.549052,,"Huntsville, TX ",,26660,,,Graduate Student,,,"M.S. in Biology, Sam Houston State University, December 2013 

B.S. in Biology, Sam Houston State University, 2009", ,,,,,,0,1,0,1,,"<p> 	            M.S. in Biology, Sam Houston State University, December 2013 </p> <p> 	            B.S. in Biology, Sam Houston State University, 2009 </p>",1,Ecology,,,,,,TX,Q3,7/28/2013 0:00,9/14/2013 17:00,48.71,5000,20,0,0.4,Casey Hayslip,,,,0,,0,,,,,,0.067,1,0.967,0.678,0,0.5,0,0.567,1,0.1,0.867,0.433,0,0.5,0,0.067,0.567,1,0.1,0.867,0.967,0.452
725,https://experiment.com/projects/can-we-predict-ultrasound-images-from-mri,1,Amit Shah,Can we merge Ultrasound and MRI for Neurosurgery?,Technical University Munich (Germany),Researcher,,1,,,,,,,1,D,D4,"Arcisstra·e 21, 80333 MÅnchen, Germany",.,,,,,,Munich,,,,Germany,Professor,Doctoral Student,Other,"University of Nice, 

University of Technology of Compiägne, 

Institut National de Recherche en Informatique et en Automatique, 

Postdoctoral Fellow at MIT", ,,Technical University Munich,,"Munich, Germany",,0,0,0,1,,"Technical University Munich, Germany<br>   Hospital Rechts der Isar, Munich, Germany",4,Medicine,,,,,,,Q3,10/3/2013 0:00,11/6/2013 0:00,34.00,5000,150,0,3,Amit Shah,,,,52,,0,,,,,,0.1,0.667,0.5,0.422,0,0,0,0.467,1,0.833,0.7,0.429,0,0,0,0.1,0.467,1,0.833,0.7,0.5,0.4
726,https://experiment.com/projects/do-drug-names-endanger-patients,97,Rachel Bryan,Do drug names endanger patients?,"Swansea University (Wales, UK)",Masters,,0,,,,,,,1,C,C,,.,,,,,,Wales,,,,United Kingdom,,,,"Swansea University, Wales, United Kingdom", ,,Swansea University,,"Wales, United Kingdom",,1,2,0,1,,"Swansea University, Wales, United Kingdom",4,Medicine,psychology,,,,,,Q3,6/23/2013 0:00,11/20/2013 23:59,151.00,1000,175,0,17.5,Rachel Bryan,,36657035700,,1,,0,,2,,5,,0.967,1,0.9,0.956,1,1,0.667,0.1,1,0.767,0.733,0.752,1,1,0.667,0.967,0.1,1,0.767,0.733,0.9,0.793
736,https://experiment.com/projects/universal-self-amplified-biosensor-for-pathogen-detection,233,Aaron Brown,Universal Self-amplified Biosensor for Pathogen Detection,Clemson University,Undergraduate,,0,,,,,,,0,C,C,"201 Sikes Hall, Clemson, South Carolina 29634",29634,,34.68153,,-82.836339,,"Clemson, SC",,24860,,,Graduate advisor for the Clemson iGEM team, ,,"Department of Biological Sciences, Clemson University", ,,Clemson University,,South Carolina,,1,1,0,1,,"Department of Biological Sciences, Clemson University",3,Biology,Engineering,Medicine,,,South Carolina,SC,Q3,6/30/2013 17:00,8/30/2013 17:00,61.00,1000,160,0,16,Aaron Brown,,,,32,,0,,,,,,0.067,1,0.133,0.4,0,0,0.333,0,1,0.5,0.2,0.29,0,0,0.333,0.067,0,1,0.5,0.2,0.133,0.248
745,https://experiment.com/projects/a-better-model-for-alzheimer-s-parkinsons-and-schizophrenia,67,Hyman Schipper,"A better model for Alzheimer's, Parkinson's and Schizophrenia",McGill University,Full Professor,,1,,,,,,,1,D,D2,,.,,,,,,MontrÇal,,,,Canada,Professor,,,"McGill University

Jewish General Hospital", ,,,,,,0,1,0,1,,McGill University<br> Jewish General Hospital,2,Medicine,,,,,,,Q3,7/7/2013 17:00,8/29/2013 17:00,53.00,75000,125,0,0.166666667,Hyman Schipper,,7103301975,,2,,"['7103301975', '56236470700']",,32,,3276,,0.633,1,0.167,0.6,0,0,0,1,1,0.233,0.3,0.362,0,0,0,0.633,1,1,0.233,0.3,0.167,0.37
748,https://experiment.com/projects/electricus-aureus,98,iGEM York,Using Engineered Bacteria to Produce Renewable Energy Cheaply,"University of York, UK",Undergraduate,,0,,,,,,,1,D,D4,,.,,,,,,York,,,,United Kingdom,Undergraduate,Undergraduate,Undergraduate,"University of York, UK","University of York, UK","University of York, UK",University of York,,"York, United Kingdom",,0,1,0,1,,"University of York, UK",9,Biology,,,,,,,Q3,6/23/2013 17:00,8/14/2013 17:00,52.00,2500,175,0,7,,,,,,,0,,,,,,0.233,1,0.467,0.567,1,1,0.333,1,1,0.5,0.567,0.771,1,1,0.333,0.233,1,1,0.5,0.567,0.467,0.678
