Date,AstraZeneca PLC,GOV,Yahoo,Yandex,Apple,Oracle,IBM,Shell,CCC,Telefonica
3/13/15,67.35,22.46,42.87,14.68,123.59,42.38,154.28,57.26,20.66,13.93
3/12/15,66.85,22.54,42.95,14.53,124.45,41.62,157.98,58.66,20.64,14.11
